Nameagency,Year,Month,RusFedsub,Avtemp,Rainfall
Росгидромет,2016,февраль,Тверская область,-1.4,29
Росгидромет,2016,февраль,Московская область,-1.7,27
Росгидромет,2016,февраль,Смоленская область,-0.9,32
Росгидромет,2016,февраль,Костромская область,-2.5,42
Росгидромет,2016,февраль,Ярославская область,-1.4,32
Росгидромет,2016,февраль,Ивановская область,-2.0,31
Росгидромет,2016,февраль,Владимирская область,-2.4,36
Росгидромет,2016,февраль,Рязанская область,-1.5,50
Росгидромет,2016,февраль,Калужская область,-0.6,48
Росгидромет,2016,февраль,Тульская область,-1.3,47
Росгидромет,2016,февраль,Брянская область,-0.2,51
Росгидромет,2016,февраль,Орловская область,-0.5,54
Росгидромет,2016,февраль,Липецкая область,-1.0,48
Росгидромет,2016,февраль,Тамбовская область,-0.9,54
Росгидромет,2016,февраль,Воронежская область,0.8,46
Росгидромет,2016,февраль,Белгородская область,0.2,32
Росгидромет,2016,февраль,Курская область,-0.1,47
Росгидромет,2016,февраль,Ленинградская область,-1.0,38
Росгидромет,2016,февраль,Новгородская область,-0.2,24
Росгидромет,2016,февраль,Псковская область,0.1,32
Росгидромет,2016,февраль,Мурманская область,-4.3,22
Росгидромет,2016,февраль,Республика Карелия,-3.4,38
Росгидромет,2016,февраль,Ненецкий автономный округ,-5.2,16
Росгидромет,2016,февраль,Архангельская область,-3.5,27
Росгидромет,2016,февраль,Вологодская область,-2.5,35
Росгидромет,2016,февраль,Республика Коми,-5.3,38
Росгидромет,2016,февраль,Калининградская область,3.3,68
Росгидромет,2016,февраль,Кировская область,-3.4,38
Росгидромет,2016,февраль,Нижегородская область,-2.2,46
Росгидромет,2016,февраль,Республика Марий Эл,-3.0,41
Росгидромет,2016,февраль,Чувашская Республика,-2.7,40
Росгидромет,2016,февраль,Республика Мордовия,-2.2,51
Росгидромет,2016,февраль,Республика Татарстан,-3.3,33
Росгидромет,2016,февраль,Ульяновская область,-2.4,33
Росгидромет,2016,февраль,Самарская область,-3.0,37
Росгидромет,2016,февраль,Пензенская область,-1.6,49
Росгидромет,2016,февраль,Саратовская область,-1.9,50
Росгидромет,2016,февраль,Удмуртская Республика,-3.4,46
Росгидромет,2016,февраль,Пермский край,-4.5,37
Росгидромет,2016,февраль,Оренбургская область,-4.4,40
Росгидромет,2016,февраль,Республика Башкортостан,-4.8,37
Росгидромет,2016,февраль,Волгоградская область,0.8,32
Росгидромет,2016,февраль,Астраханская область,1.2,13
Росгидромет,2016,февраль,Республика Калмыкия,2.9,8
Росгидромет,2016,февраль,Ростовская область,2.4,46
Росгидромет,2016,февраль,Kраснодарский край,5.3,67
Росгидромет,2016,февраль,Республика Адыгея,6.4,29
Росгидромет,2016,февраль,Cтавропольский край,3.7,14
Росгидромет,2016,февраль,Карачаево-Черкесская Республика,2.0,19
Росгидромет,2016,февраль,Республика Дагестан,2.7,18
Росгидромет,2016,февраль,Кабардино-Балкарская Республика,3.5,21
Росгидромет,2016,февраль,Республика Северная Осетия-Алания,3.1,36
Росгидромет,2016,февраль,Республика Ингушетия,,34
Росгидромет,2016,февраль,Чеченская Республика,,35
Росгидромет,2016,февраль,Свердловская область,-6.0,14
Росгидромет,2016,февраль,Челябинская область,-6.6,26
Росгидромет,2016,февраль,Курганская область,-7.4,14
Росгидромет,2016,февраль,Ямало-Ненецкий автономный округ,-11.8,72
Росгидромет,2016,февраль,Ханты-Мансийский автономный округ,-8.7,25
Росгидромет,2016,февраль,Тюменская область,-7.5,13
Росгидромет,2016,февраль,Омская область,-8.5,12
Росгидромет,2016,февраль,Томская область,-10.1,28
Росгидромет,2016,февраль,Новосибирская область,-9.1,14
Росгидромет,2016,февраль,Кемеровская область,-9.9,34
Росгидромет,2016,февраль,Алтайский край,-9.1,12
Росгидромет,2016,февраль,Республика Алтай,-13.4,5
Росгидромет,2016,февраль,Таймырский муниципальный район,-21.8,24
Росгидромет,2016,февраль,Эвенкийский муниципальный район,-22.0,15
Росгидромет,2016,февраль,Красноярский край,-12.6,28
Росгидромет,2016,февраль,Республика Хакасия,-11.6,21
Росгидромет,2016,февраль,Республика Тыва,-20.4,20
Росгидромет,2016,февраль,Иркутская область,-15.3,19
Росгидромет,2016,февраль,Республика Бурятия,-17.5,5
Росгидромет,2016,февраль,Забайкальский край,-18.4,
Росгидромет,2016,февраль,Республика Саха (Якутия),-32.3,12
Росгидромет,2016,февраль,Амурская область,-23.3,7
Росгидромет,2016,февраль,Чукотский автономный округ,-22.5,20
Росгидромет,2016,февраль,Магаданская область,-29.0,12
Росгидромет,2016,февраль,Kамчатский край,-16.0,23
Росгидромет,2016,февраль,Xабаровский край,-21.9,8
Росгидромет,2016,февраль,Приморский край,-11.7,15 
Росгидромет,2016,февраль,Сахалинская область,-13.4,41
Росгидромет,2016,февраль,Автономная Республика Крым,5.8,40
